iter	Passed	Remaining
0	153	153627
1	203	101463
2	221	73764
3	241	60134
4	258	51516
5	277	46028
6	299	42552
7	317	39412
8	336	37017
9	355	35213
10	375	33759
11	400	32957
12	435	33056
13	453	31918
14	471	30929
15	490	30146
16	510	29491
17	528	28818
18	546	28209
19	564	27678
20	583	27222
21	605	26935
22	624	26543
23	642	26143
24	667	26045
25	698	26175
26	722	26030
27	746	25918
28	770	25785
29	800	25866
30	841	26288
31	871	26371
32	897	26292
33	941	26745
34	959	26462
35	978	26202
36	997	25955
37	1018	25782
38	1037	25564
39	1056	25360
40	1076	25176
41	1095	24995
42	1115	24823
43	1134	24641
44	1153	24477
45	1215	25212
46	1235	25052
47	1254	24885
48	1277	24785
49	1296	24640
50	1317	24517
51	1335	24356
52	1356	24238
53	1377	24123
54	1398	24021
55	1416	23885
56	1454	24068
57	1473	23927
58	1491	23787
59	1511	23681
60	1531	23572
61	1550	23456
62	1569	23338
63	1588	23229
64	1608	23138
65	1628	23042
66	1647	22942
67	1666	22845
68	1705	23017
69	1741	23140
70	1781	23313
71	1824	23514
72	1866	23700
73	1903	23823
74	1933	23846
75	1968	23935
76	2000	23975
77	2028	23980
78	2060	24020
79	2088	24021
80	2112	23970
81	2144	24011
82	2193	24233
83	2273	24786
84	2306	24832
85	2333	24802
86	2357	24744
87	2385	24722
88	2408	24657
89	2447	24747
90	2476	24741
91	2500	24679
92	2549	24864
93	2592	24989
94	2636	25112
95	2668	25129
96	2798	26051
97	2883	26541
98	2982	27147
99	3089	27807
100	3180	28312
101	3261	28712
102	3289	28647
103	3317	28583
104	3346	28528
105	3378	28496
106	3417	28518
107	3540	29244
108	3616	29561
109	3650	29531
110	3682	29492
111	3735	29614
112	3765	29557
113	3796	29509
114	3825	29438
115	3877	29547
116	3991	30121
117	4022	30068
118	4048	29975
119	4075	29887
120	4111	29865
121	4139	29791
122	4165	29698
123	4201	29684
124	4241	29689
125	4267	29604
126	4294	29520
127	4322	29447
128	4345	29343
129	4372	29259
130	4393	29144
131	4414	29027
132	4440	28943
133	4478	28944
134	4499	28831
